Epoch   0 | Train Loss: 1027800.562 | Train Acc:  28.90% | Val Loss: 1002609.31 | Val Acc: 22.52%
Epoch  10 | Train Loss: 908887.000 | Train Acc:  21.30% | Val Loss: 925307.25 | Val Acc: 26.24%
Epoch  20 | Train Loss: 879557.500 | Train Acc:  44.01% | Val Loss: 927287.75 | Val Acc: 51.95%
Epoch  30 | Train Loss: 882465.938 | Train Acc:  51.29% | Val Loss: 912489.88 | Val Acc: 52.97%
Epoch  40 | Train Loss: 865414.750 | Train Acc:  49.12% | Val Loss: 906491.19 | Val Acc: 51.86%
Epoch  50 | Train Loss: 855410.375 | Train Acc:  51.04% | Val Loss: 942533.81 | Val Acc: 51.95%
Epoch  60 | Train Loss: 848965.500 | Train Acc:  38.55% | Val Loss: 918987.88 | Val Acc: 36.23%
Epoch  70 | Train Loss: 850440.312 | Train Acc:  41.27% | Val Loss: 859548.44 | Val Acc: 38.74%
Epoch  80 | Train Loss: 840026.312 | Train Acc:  32.26% | Val Loss: 872708.69 | Val Acc: 31.21%
Epoch  90 | Train Loss: 817429.750 | Train Acc:  41.80% | Val Loss: 899590.44 | Val Acc: 37.63%
Epoch 100 | Train Loss: 817497.500 | Train Acc:  27.84% | Val Loss: 874937.56 | Val Acc: 29.01%
Epoch 110 | Train Loss: 817083.500 | Train Acc:  30.70% | Val Loss: 861939.69 | Val Acc: 30.52%
Epoch 120 | Train Loss: 818871.375 | Train Acc:  29.34% | Val Loss: 827870.19 | Val Acc: 27.21%
Epoch 130 | Train Loss: 783445.438 | Train Acc:  39.50% | Val Loss: 816691.12 | Val Acc: 39.40%
Epoch 140 | Train Loss: 819024.000 | Train Acc:  48.79% | Val Loss: 865411.00 | Val Acc: 45.18%
Epoch 150 | Train Loss: 790766.312 | Train Acc:  34.78% | Val Loss: 843884.50 | Val Acc: 28.75%
Epoch 160 | Train Loss: 791119.250 | Train Acc:  31.42% | Val Loss: 807349.00 | Val Acc: 30.76%
Epoch 170 | Train Loss: 779956.250 | Train Acc:  36.89% | Val Loss: 783527.62 | Val Acc: 33.06%
Epoch 180 | Train Loss: 763738.250 | Train Acc:  32.86% | Val Loss: 781500.19 | Val Acc: 29.65%
Epoch 190 | Train Loss: 752400.188 | Train Acc:  30.72% | Val Loss: 812062.25 | Val Acc: 32.11%
Epoch 200 | Train Loss: 740991.188 | Train Acc:  35.22% | Val Loss: 804614.69 | Val Acc: 32.75%
